"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"1","Gm11627",5.4485058623929e-05,2.66051556774591,0.431,0,0.0010013082229168,"Gm11627"
"2","Filip1l",0.000510079285176403,2.40061339735902,0.35,0,0.00702173993419058,"Filip1l"
"3","B230118H07Rik",6.85413445203504e-06,2.19146897623434,0.596,0.125,0.000149393612081782,"B230118H07Rik"
"4","Ntn1",8.38552205648488e-05,2.1368342574478,0.558,0.125,0.00147979206700403,"Ntn1"
"5","Zdbf2",6.30728579457273e-09,2.13195553534042,0.86,0.333,2.32117625711324e-07,"Zdbf2"
"6","Gm28960",0.000143817636000955,2.11502489039529,0.507,0.125,0.00228967055924564,"Gm28960"
"7","Map2k5",0.000370365192317488,2.09392119547753,0.401,0.042,0.00530796376895719,"Map2k5"
"8","Thg1l",0.000102651825482543,2.07427376714438,0.513,0.125,0.00177753537792024,"Thg1l"
"9","Bnc2",1.21955700559187e-07,1.95356117635584,0.831,0.417,3.47526293013698e-06,"Bnc2"
"10","Rasgrp2",1.03387926797591e-09,1.94189344480833,0.944,0.542,4.11500805381606e-08,"Rasgrp2"
"11","Galk2",0.000774174599662133,1.92531533275146,0.383,0.042,0.00957906698889191,"Galk2"
"12","Sbf2",0.000127998368137464,1.88858680440955,0.54,0.167,0.00206021109682356,"Sbf2"
"13","Zfp710",1.59730356068328e-05,1.87468150366997,0.647,0.208,0.000327670941923362,"Zfp710"
"14","Frmd4b",0.00569262334472555,1.86984526358173,0.247,0,0.0472851250768157,"Frmd4b"
"15","Memo1",5.91658682150713e-06,1.86506398566102,0.678,0.25,0.000139101520344486,"Memo1"
"16","Mtss1",5.25397207542383e-08,1.84689368314599,0.851,0.458,1.52688351168121e-06,"Mtss1"
"17","Nphs1",0.0019025493082462,1.84029184418136,0.347,0.042,0.0207468712622727,"Nphs1"
"18","Gm19705",6.05501708751658e-07,1.8272619951329,0.77,0.292,1.60666368262419e-05,"Gm19705"
"19","Gm41609",0.00367861604196995,1.79511010443454,0.267,0,0.0341232990289638,"Gm41609"
"20","Gm46332",1.24841556028245e-09,1.78774876386426,0.935,0.5,4.92871771198303e-08,"Gm46332"
"21","Bicd1",0.00231992037409678,1.77305810531696,0.338,0.042,0.0238399320042857,"Bicd1"
"22","Klf12",1.37832179835062e-06,1.76237355234424,0.84,0.375,3.52325992677863e-05,"Klf12"
"23","Trerf1",6.5644873820615e-05,1.75611434631646,0.635,0.25,0.00118703761339574,"Trerf1"
"24","Meg3",4.02112856865732e-07,1.75599639383798,0.878,0.583,1.08267408355007e-05,"Meg3"
"25","Shld1",0.00279571960464524,1.73296844144343,0.279,0,0.0272447804718821,"Shld1"
"26","Kat2b",0.000120977276903375,1.70210042240941,0.537,0.083,0.00197137864820504,"Kat2b"
"27","Zfp438",0.00577208716314858,1.68989163790517,0.247,0,0.0477109258908788,"Zfp438"
"28","Snx11",0.00424129331767676,1.66768858964638,0.261,0,0.0380884262562916,"Snx11"
"29","Mllt3",0.00481506912214318,1.65898797609309,0.255,0,0.0422060547169546,"Mllt3"
"30","Epb41l4a",3.90838833631499e-06,1.65878112873849,0.806,0.292,9.47784171556386e-05,"Epb41l4a"
"31","Ric8a",0.00286478104949483,1.6449474952092,0.331,0.042,0.0277883761800998,"Ric8a"
"32","Sulf1",3.81435027473748e-05,1.63285312626027,0.731,0.417,0.000725268785464601,"Sulf1"
"33","Marcks",0.000123331782041718,1.62712506184751,0.6,0.208,0.00200004952341315,"Marcks"
"34","Irf2bpl",2.85064265763412e-05,1.62284863342978,0.618,0.125,0.000558200040192071,"Irf2bpl"
"35","Siah1a",0.00156363367370263,1.61385589124339,0.372,0.042,0.0176037989382955,"Siah1a"
"36","Ddx58",0.000159315511559035,1.61273309078734,0.617,0.25,0.0024957158265296,"Ddx58"
"37","Chd7",0.000848351275861298,1.61245816395337,0.477,0.125,0.0103981599477326,"Chd7"
"38","Foxp1",1.56297452442196e-06,1.60045071383478,0.817,0.417,3.96070724207759e-05,"Foxp1"
"39","Osbpl10",0.00135122360453476,1.58575584206644,0.447,0.125,0.0154723997754808,"Osbpl10"
"40","Traf4",0.000227754680199741,1.56965195506369,0.572,0.167,0.00347491958425584,"Traf4"
"41","Faap20",0.00267726807677519,1.55936159231175,0.381,0.083,0.0263357592481707,"Faap20"
"42","Pcbp4",6.14792115810503e-05,1.55529766479255,0.667,0.25,0.00111722830276383,"Pcbp4"
"43","Mras",8.05201837304122e-07,1.55522971307949,0.855,0.458,2.10603416267741e-05,"Mras"
"44","Fam178b",0.000469132125061922,1.55514674938574,0.504,0.125,0.00652552539010633,"Fam178b"
"45","Sh3gl2",0.000282027626002007,1.55503954222116,0.565,0.208,0.0041768034762906,"Sh3gl2"
"46","Odf2l",0.00461625144089553,1.54866616761855,0.257,0,0.0407314667799981,"Odf2l"
"47","Rap1gds1",0.000596681196530579,1.54696092114957,0.531,0.167,0.00802167641474354,"Rap1gds1"
"48","Alkbh1",1.13648504648549e-06,1.54636104862947,0.847,0.458,2.94100644450054e-05,"Alkbh1"
"49","Pisd",0.0014102394146793,1.5439225281292,0.461,0.167,0.0160122300052773,"Pisd"
"50","St8sia1",0.00239675261014269,1.54386112748306,0.397,0.083,0.024137927829967,"St8sia1"
"51","Entpd6",0.00561417706095945,1.54189821314594,0.248,0,0.0469714694257266,"Entpd6"
