"logFC","isDE","Transcript_Name"
"7.9637239432560296","Up","TdTomato"
"7.5097235264630697","Up","Gm5117"
"7.1291517135645703","Up","Gm5939"
"6.6734290536004099","Up","Tcstv3"
"6.6273006628416402","Up","BC147527"
"6.55832126043597","Up","Zfp352"
"6.4542396173903303","Up","Pramef25"
"6.3877927404259101","Up","Gm12183"
"6.5081997931811699","Up","AF067061"
"6.4892842943435198","Up","Sp110"
"6.5598668649342899","Up","Gm13498"
"6.1955991707951998","Up","Usp17lc"
"6.4795497127048796","Up","Gm16026"
"5.8665192556159704","Up","Zscan4d"
"5.7806056310416603","Up","Gm21761"
"5.8620588237288596","Up","MT2_Mm"
"6.0926292638304398","Up","Gm21818"
"6.6430406456681403","Up","B020004J07Rik"
"5.7556894175853603","Up","Zscan4a"
"5.6271134463091403","Up","MERVL-int"
"5.7802562439807801","Up","Zscan4c"
"5.9521411101042796","Up","Gm4971"
"5.9109822832969403","Up","Gm7957"
"5.6567126220174897","Up","Gm10800"
"7.2263307656961597","Up","Spdye4b"
"5.8414616793274998","Up","Zscan4e"
"5.7750856940347903","Up","Gm20767"
"6.6614294352067098","Up","B020031M17Rik"
"6.0507441939261701","Up","Gm13228"
"5.6846490873414899","Up","Gm8994"
"5.6766486769864501","Up","RP24-351P7.8"
"5.8584816257532699","Up","Zscan4b"
"6.5777644642227102","Up","Nat8f2"
"5.7785853095811097","Up","Zscan4f"
"6.5014243444272903","Up","D13Ertd608e"
"5.9084965876155797","Up","Zfp560"
"6.8467158588124999","Up","Zfp353-ps"
"6.2646181931429199","Up","Epm2a"
"5.69087519106243","Up","Gm5580"
"6.84545587249045","Up","AF067063"
"5.4916239606042403","Up","Zscan4d"
"5.3419592022324203","Up","Nelfa"
"5.8122042859926397","Up","X7C_LINE"
"5.5362436635147496","Up","RLTR6B_Mm"
"5.5016498293812601","Up","GSAT_MM"
"5.7984527545659104","Up","Gm4778"
"5.82995373756604","Up","BC080695"
"5.4391546854591404","Up","Zscan4f"
"5.3090416662608497","Up","Usp17le"
"6.3991555655952199","Up","Spz1"
"5.3597685156789696","Up","Gm8300"
"6.1772370765239","Up","Gm28940"
"5.6563771850537696","Up","Gm21738"
"5.55490545744484","Up","Fundc1"
"6.7415904087127698","Up","Gm6264"
"6.2343669795289198","Up","Gm9113"
